# ell cibdBeta_1.2_T_10.7_gy cibdBeta_1.2_T_10.7_yy cibdBeta_1.2_T_24.0_gy cibdBeta_1.2_T_24.0_yy cibdBeta_1.3_T_24.0_gy cibdBeta_1.3_T_24.0_yy cibdBeta_1.35_T_24.0_gy cibdBeta_1.35_T_24.0_yy cibdBeta_1.45_T_24.0_gy cibdBeta_1.45_T_24.0_yy cibdBeta_1.4_T_10.7_gy cibdBeta_1.4_T_10.7_yy cibdBeta_1.4_T_24.0_gy cibdBeta_1.4_T_24.0_yy cibdBeta_1.6_T_10.7_gy cibdBeta_1.6_T_10.7_yy cibdBeta_1.6_T_24.0_gy cibdBeta_1.6_T_24.0_yy cibdBeta_1.7_T_10.7_gy cibdBeta_1.7_T_10.7_yy cibdBeta_1.7_T_24.0_gy cibdBeta_1.7_T_24.0_yy cibdBeta_1.8_T_10.7_gy cibdBeta_1.8_T_10.7_yy cibdBeta_1.8_T_24.0_gy cibdBeta_1.8_T_24.0_yy
1.076500000000000000e+03 -6.304248640904081692e-18 1.124569086353643076e-16 2.082416715704464053e-14 9.589718150626547590e-17 2.359652462140824554e-14 9.423935125289694121e-17 2.484990128478273264e-14 9.313375347351167176e-17 2.713251396049147500e-14 9.049245201204944059e-17 1.333747245485315011e-14 1.151726251550661432e-16 2.599946371381436648e-14 9.188143391650346787e-17 2.355115842777054277e-14 1.120062608292738083e-16 3.000811174560175700e-14 8.580639535132100744e-17 2.733398516852603148e-14 1.088324769103595888e-16 3.162484588515879719e-14 8.242348376648155267e-17 3.034370347485548677e-14 1.049635671686024128e-16 3.300860061959949756e-14 7.898153044048703568e-17
1.126500000000000000e+03 -5.585534463366639366e-14 1.170387211050201434e-16 -8.122883201889961184e-14 9.974854811210808636e-17 -8.423095000414986645e-14 9.812121167969511982e-17 -8.552979880505856835e-14 9.700912774826028991e-17 -8.770785809065776961e-14 9.431660305185333355e-17 -6.496310336498070825e-14 1.203396766869711901e-16 -8.670683684353297235e-14 9.573752937204125862e-17 -7.432781630919129212e-14 1.172923359074796047e-16 -8.998148446027510393e-14 8.947894732389647256e-17 -7.882363141970601819e-14 1.140373194978106198e-16 -9.086284803376605713e-14 8.596088629074789141e-17 -8.281788115415859587e-14 1.100224794702012953e-16 -9.130795440654381595e-14 8.236857147447742716e-17
1.176500000000000227e+03 -8.410401457421053963e-14 1.029637505199655897e-16 -9.690301444467069002e-14 9.009267280476626659e-17 -9.084648365995355613e-14 8.911554931940328403e-17 -8.765470419580769285e-14 8.834816625877971936e-17 -8.097339600322434770e-14 8.636161723210060981e-17 -8.192295574331694620e-14 1.068016887939941284e-16 -8.445002967673462409e-14 8.742834726589434621e-17 -7.703661734177573137e-14 1.053115689296052555e-16 -7.064159761553382490e-14 8.257341524842644198e-17 -7.315498066830533472e-14 1.030146939529739252e-16 -6.364686102387444222e-14 7.972001394880804906e-17 -6.841889286763171889e-14 9.998955683456571859e-17 -5.675407639027995499e-14 7.675054682724895755e-17
1.226500000000000227e+03 -1.886562161097111907e-13 8.729527761074821537e-17 -1.798899467512870700e-13 8.154459463852593804e-17 -1.781292830978012619e-13 8.135003680549649666e-17 -1.768617905304055450e-13 8.097644268348952578e-17 -1.736910240218512022e-13 7.975981310846400614e-17 -2.015709360463594005e-13 9.245035684336543357e-17 -1.753816489235687746e-13 8.044513843418916889e-17 -2.036905769976286254e-13 9.322034123565261876e-17 -1.678077248057119331e-13 7.703376017798841052e-17 -2.016188533625337153e-13 9.217145335138030049e-17 -1.634441254145670211e-13 7.480536414946505982e-17 -1.981270482653969022e-13 9.036774993885015320e-17 -1.589474288674512199e-13 7.238738234202975996e-17
1.276500000000000455e+03 1.766095696569695842e-13 7.329890650113749557e-17 1.788785086812368590e-13 7.113698832903260733e-17 1.789950763753756854e-13 7.147892425308936303e-17 1.787415242965467305e-13 7.141587053122947373e-17 1.776644304256759026e-13 7.087269622583775851e-17 1.873495630690307198e-13 7.820490734135751814e-17 1.783175512606599737e-13 7.121415258619522629e-17 1.927996715816878423e-13 8.001137675389347338e-17 1.748936858282365872e-13 6.920530716191093127e-17 1.931493363118222597e-13 7.978896728170592897e-17 1.724270088586512774e-13 6.766632096793135205e-17 1.921613374356347569e-13 7.891707352079526126e-17 1.696176254028429970e-13 6.589783505128906502e-17
1.326500000000000227e+03 1.303719522414614621e-14 6.486459153080384687e-17 5.267990545758289919e-15 6.338924991825229685e-17 7.242608905451856927e-15 6.389031520119917732e-17 8.413086004139413823e-15 6.393628352608207924e-17 1.109793091304490044e-14 6.365649943451623685e-17 1.443599593031411123e-14 6.953990723701237044e-17 9.697313157410988503e-15 6.386074199113262002e-17 1.545078399943377522e-14 7.151360142877843256e-17 1.587626737035985231e-14 6.246171071648812715e-17 1.634187952513102792e-14 7.151198134086873055e-17 1.947002893188754926e-14 6.126174082304788445e-17 1.763981224010465361e-14 7.093407870718557881e-17 2.330510002559289048e-14 5.983519352904519261e-17
1.376500000000000227e+03 9.063124881208804092e-14 6.873082757809409488e-17 6.767773438834480036e-14 6.831318742011670319e-17 6.356437251219683823e-14 6.897510697795090342e-17 6.130760972205891507e-14 6.907166306509083619e-17 5.647993755391282870e-14 6.883536793650344547e-17 8.810140760524406684e-14 7.425261964112288734e-17 5.895334181264364966e-14 6.902843982479195361e-17 8.063293029328980918e-14 7.681461744954310475e-17 4.873441597455606569e-14 6.758019397816955656e-17 7.545287896048296794e-14 7.698654379609717403e-17 4.339893774338752209e-14 6.627180308397611282e-17 6.961839000948880750e-14 7.649708394298638270e-17 3.805367959075486533e-14 6.469838547811023249e-17
1.426500000000000227e+03 -5.796114641527477859e-14 6.784268310166139632e-17 -2.802491959669602758e-14 6.719634073058024920e-17 -2.027618754590259008e-14 6.789867544269202191e-17 -1.636311907003359374e-14 6.802631967529944274e-17 -8.621122331996447925e-15 6.787021119799792462e-17 -5.022360549758925731e-14 7.327419823895987080e-17 -1.249253180297063792e-14 6.802145931860797244e-17 -3.607204243665155315e-14 7.583003579262982151e-17 2.306441293443944084e-15 6.677095051230871725e-17 -2.788949648004528133e-14 7.603304027763845651e-17 8.905169874529298854e-15 6.558016978631638193e-17 -1.950153089621688601e-14 7.559861820544907109e-17 1.480676117195130406e-14 6.412916243253425787e-17
1.476500000000000227e+03 1.353585328345583200e-13 6.159276198912581534e-17 1.462257933558331347e-13 6.237382378930506129e-17 1.465801286907599499e-13 6.332305701068444873e-17 1.462528168824606584e-13 6.359727573383838522e-17 1.446813356644512181e-13 6.376684672001353290e-17 1.499921951996282470e-13 6.675727450460607181e-17 1.456535746382462958e-13 6.374996611715777765e-17 1.566385567746512706e-13 6.964216668114765120e-17 1.404924896381618051e-13 6.319688081278410182e-17 1.571039492990820560e-13 7.017516561384778331e-17 1.367387562131422172e-13 6.236082413379216160e-17 1.559365295540995880e-13 7.014267423972942648e-17 1.324766245241483760e-13 6.124962999285001313e-17
1.526500000000000000e+03 7.090574355820802403e-14 4.965263693507526760e-17 7.677012647007712692e-14 5.191715905152383353e-17 7.791972472444380799e-14 5.308368118219441079e-17 7.808916407297036330e-14 5.351855772598214813e-17 7.774809797195600596e-14 5.409632187020376570e-17 7.774223259332896366e-14 5.409430135528949626e-17 7.798024074669678879e-14 5.386079468401762920e-17 8.121791057601925710e-14 5.714808658351971762e-17 7.574169043716410762e-14 5.429517783007371471e-17 8.164292689088541879e-14 5.805473433632934785e-17 7.365854956682387506e-14 5.403288748763602047e-17 8.120882787773751365e-14 5.854232774724252750e-17 7.109682946707439823e-14 5.351172468100292027e-17
1.576500000000000000e+03 -3.428328250061278633e-14 3.776283367237955431e-17 -3.207529867177494633e-14 4.052510977080627073e-17 -2.962334949492132349e-14 4.162547635887903102e-17 -2.837954197618788815e-14 4.207423288088411562e-17 -2.591895645294415360e-14 4.276514190883904130e-17 -3.143300403090198538e-14 4.120395669473670944e-17 -2.713587652110439197e-14 4.245804257054105626e-17 -2.768364151697987369e-14 4.390085449278952650e-17 -2.243242774339053714e-14 4.331179965907736412e-17 -2.545964355740719784e-14 4.485896695065069893e-17 -2.033786046152259170e-14 4.337460445718435445e-17 -2.308964429380518599e-14 4.553140165269100113e-17 -1.847647216147620316e-14 4.323087233754843666e-17
1.626500000000000227e+03 1.944047210951169091e-14 3.259030072723818958e-17 1.704015661112292556e-14 3.458422390438295420e-17 1.637405025080978648e-14 3.557704186204236766e-17 1.605733852635194527e-14 3.600698895388483420e-17 1.547123653007036872e-14 3.672366938016258372e-17 2.255627759013029794e-14 3.516343313750476946e-17 1.575951605518005283e-14 3.639325714762818759e-17 2.328691833044029054e-14 3.738501823433665690e-17 1.475345086710946750e-14 3.744204534780254810e-17 2.281249981416437055e-14 3.825309211591231817e-17 1.439635651351367023e-14 3.768737922017137263e-17 2.200519818027460784e-14 3.892898285136327859e-17 1.414597143287538333e-14 3.776341172334924231e-17
1.676500000000000227e+03 -1.022909109083192345e-13 3.102945525237249947e-17 -1.175516421444170902e-13 3.304383259161947966e-17 -1.211156170606113192e-13 3.393716976989992431e-17 -1.226605257945514368e-13 3.432332939701628884e-17 -1.253135995409742150e-13 3.496655272426158372e-17 -1.142847433309899348e-13 3.345172506348960012e-17 -1.240627733812815704e-13 3.467083679221055326e-17 -1.232818971664905822e-13 3.550205477876306283e-17 -1.283412778491291236e-13 3.561549113393931209e-17 -1.268813406175836745e-13 3.629746487528662502e-17 -1.298211898877482703e-13 3.584250634619495504e-17 -1.299384964106161293e-13 3.691567186237944617e-17 -1.309537297041555620e-13 3.592206513537737312e-17
1.726500000000000227e+03 2.901912117289670777e-14 3.011543933911976321e-17 3.041957091819020126e-14 3.228431405025560056e-17 3.204378590240835915e-14 3.328978153023781082e-17 3.274854822591327487e-14 3.374068117465119393e-17 3.396597657478782047e-14 3.452514133561632206e-17 3.433540403306688080e-14 3.243183096878926886e-17 3.338702293487686571e-14 3.415739649057191264e-17 3.797957753696288847e-14 3.457264611252059226e-17 3.536190878812323579e-14 3.539979712786276182e-17 3.916862532020218196e-14 3.547362275516612045e-17 3.603782947354968297e-14 3.577527510888914481e-17 4.001211200111531965e-14 3.622693108141562663e-17 3.653348943424948765e-14 3.599467030848706837e-17
1.776500000000000227e+03 1.034996469485527617e-14 2.670651229003561016e-17 1.155645366217461460e-14 2.872927517751765454e-17 1.086395725720615092e-14 2.965298268629483773e-17 1.046628187827580940e-14 3.007186581574771727e-17 9.552882868782425741e-15 3.081134750861432355e-17 7.125170990109612609e-15 2.874890225314329067e-17 1.003709843441570811e-14 3.046197706425268126e-17 5.206829603415833508e-15 3.069388807261438068e-17 7.896077939676965291e-15 3.166427048152999755e-17 4.589899702241148261e-15 3.153324588274984737e-17 6.604426428047443601e-15 3.205471568318726749e-17 3.999559683457484174e-15 3.224991320643750439e-17 5.188376699896177141e-15 3.230924072789244313e-17
1.826500000000000227e+03 1.181179273349498420e-13 2.535332318539172829e-17 1.089145375690190122e-13 2.682423893229731356e-17 1.100147075658195288e-13 2.756603900228044333e-17 1.106986199313851626e-13 2.790867636034688462e-17 1.122601574643882245e-13 2.852554580056311372e-17 1.131151707018360929e-13 2.690286313876088583e-17 1.114668073132718915e-13 2.823243246829949935e-17 1.112343160169544657e-13 2.844976142875931258e-17 1.149332722096583397e-13 2.926831889577196713e-17 1.112974492711126124e-13 2.913264807883541217e-17 1.167905196210489496e-13 2.963229086489965866e-17 1.119247469413343850e-13 2.972657634936953400e-17 1.186308197271085258e-13 2.989443342269846757e-17
