# ell cibdBeta_1.0_T_10.7_gy cibdBeta_1.0_T_10.7_yy cibdBeta_1.2_T_10.7_gy cibdBeta_1.2_T_10.7_yy
3.276500000000000455e+03 3.248394330511316057e-14 1.863459735654670893e-17 3.182508376265304981e-14 1.428598299737951801e-17
3.326500000000000000e+03 2.070824574728838173e-14 1.840733946149949316e-17 1.721624109264391592e-14 1.406255489497403561e-17
3.376500000000000000e+03 1.577818435400117542e-14 1.946380150744046946e-17 1.106514742145938954e-14 1.473286688329631398e-17
3.426500000000000000e+03 -4.029138078183522359e-14 1.971109990464901404e-17 -3.794845041279130375e-14 1.478233683663610241e-17
3.476500000000000000e+03 7.171710946142180111e-14 2.051526080152414886e-17 5.633900051803863906e-14 1.530022746298952070e-17
3.526500000000000000e+03 -7.802218902552189262e-15 2.105137733133552931e-17 -6.141353210387883406e-15 1.565918334522707910e-17
3.576500000000000000e+03 3.623639154814823426e-14 2.183654940176356343e-17 2.931239399275623887e-14 1.600486322840806360e-17
3.626500000000000000e+03 -3.264927023535210459e-14 2.307164060432305760e-17 -3.166076799933866467e-14 1.679142026187153349e-17
3.676500000000000000e+03 -2.999201437464217073e-14 2.331368679662768468e-17 -2.636228661234373186e-14 1.671931221848551439e-17
3.726500000000000000e+03 3.552921090317860573e-14 2.399333111384810264e-17 2.991704361726723992e-14 1.710343362038030283e-17
3.776500000000000000e+03 -1.011373262971803812e-14 2.541853280952638367e-17 -1.225066983929364839e-15 1.794984319067892707e-17
3.826500000000000000e+03 5.578746623951839724e-15 2.688969127869731869e-17 9.508734329747983597e-15 1.871319593918770077e-17
3.876500000000000000e+03 3.555283304267640799e-14 2.920480837374903991e-17 2.652827162884051208e-14 2.008438538695415935e-17
3.926500000000000000e+03 2.189537488892531719e-15 3.089186423375299269e-17 9.043938393446539885e-16 2.095646949404889768e-17
3.976500000000000000e+03 -1.479056329287153620e-14 3.280698465032877329e-17 -1.096452133412457333e-14 2.205372761275432322e-17
4.026500000000000000e+03 -3.932141345963296932e-14 3.416689618684078867e-17 -3.203487879355141771e-14 2.267008656726336416e-17
4.076500000000000000e+03 -2.126307894588648025e-14 3.706911937565010363e-17 -1.762587967961668620e-14 2.448990314751320314e-17
4.126500000000000000e+03 -5.826547507541111525e-14 4.192776657817245318e-17 -5.383971087871887333e-14 2.725746048507635097e-17
4.176500000000000000e+03 -4.302583919190142021e-14 4.732886701806400267e-17 -2.768433093838395984e-14 3.058678346600510782e-17
4.226500000000000000e+03 -1.980624563415755447e-14 5.643870050570575286e-17 -1.757348516062582702e-14 3.580421236906833997e-17
4.276500000000000000e+03 3.410354939529288538e-14 6.757040787224860305e-17 3.561257463812477303e-14 4.251038906347295859e-17
4.326500000000000000e+03 1.566348296108984026e-14 8.138062404509477178e-17 1.556776669227156909e-14 5.052426792610985063e-17
4.376500000000000000e+03 -3.255884843793637262e-14 1.029286154768408838e-16 -2.500831884083953604e-14 6.348002623657344518e-17
4.426500000000000000e+03 2.199568133661160166e-14 1.235878346243364477e-16 2.316016634110195435e-14 7.565642018609786818e-17
4.476500000000000000e+03 -2.528276742985759098e-14 1.425200997265382150e-16 -2.001063853521093899e-14 8.690254450948295110e-17
4.526500000000000000e+03 -2.154775738881504748e-14 1.614834112457620323e-16 -1.462201244870419881e-14 9.839242775960923211e-17
4.576499999999999091e+03 1.118513942237205451e-14 1.768149974105048842e-16 4.415988049117647789e-15 1.075708642588511355e-16
4.626499999999999091e+03 4.653974636220242198e-14 1.721474256038889155e-16 3.604543228551541613e-14 1.048164635700535586e-16
4.676499999999999091e+03 -1.079732520697011001e-13 1.805461261973214243e-16 -8.219974669262872357e-14 1.099141629257525300e-16
4.726499999999999091e+03 -8.988843440481222224e-15 1.828642133013101738e-16 -7.237979454638880998e-15 1.115709816584852692e-16
4.776499999999999091e+03 -8.387160401090813037e-14 1.864326717211907024e-16 -6.407442525822992256e-14 1.143606100571677264e-16
4.826499999999999091e+03 3.560075007095052069e-14 1.898507418729033143e-16 3.036748814699408051e-14 1.165844485556538863e-16
4.876499999999999091e+03 6.291001767881682564e-14 1.908320044252105733e-16 5.265419722272834808e-14 1.174228477743042651e-16
4.926499999999999091e+03 4.188332119896568555e-14 1.978375344108336135e-16 3.161679242393039722e-14 1.220201394518733448e-16
4.976499999999999091e+03 6.096930866270503495e-14 2.026279051015591447e-16 4.821480598534343429e-14 1.248276132080822733e-16
5.026499999999999091e+03 8.383018179591960102e-14 2.033516293497182095e-16 6.372441409831017404e-14 1.253857358731131294e-16
5.076499999999999091e+03 -1.520160854543127419e-14 2.156707842951585681e-16 -1.372304497288280671e-14 1.333093537699291989e-16
5.126499999999999091e+03 -3.100841058726334292e-14 2.239114960619799342e-16 -2.802094346069391427e-14 1.384697857786740476e-16
5.176499999999999091e+03 -3.754758604635670500e-14 2.412642210088341072e-16 -2.901283872566646455e-14 1.498729463880010783e-16
5.226499999999999091e+03 2.763581066597573454e-14 2.398393967123124547e-16 2.881993908702791964e-14 1.491428995968129588e-16
5.276499999999998181e+03 2.086901945906176053e-15 2.594064316340698595e-16 -2.789185393528235530e-15 1.615505357563292276e-16
5.326499999999998181e+03 -5.931932520636135060e-14 2.688550070874656886e-16 -5.001591854602845362e-14 1.675400432486344216e-16
5.376499999999998181e+03 4.731231504041378804e-14 2.712171810842429314e-16 3.644319481125568154e-14 1.685623341030851882e-16
5.426499999999998181e+03 1.213408830860258394e-13 2.866105029525044649e-16 9.534251657744025247e-14 1.793818032438167393e-16
5.476499999999998181e+03 -1.715842012830415261e-14 2.881605471260548181e-16 -1.415799928131506607e-14 1.800592824322642781e-16
5.526499999999998181e+03 1.021658066546224576e-13 2.910170139028366125e-16 7.920937541296544305e-14 1.823235485528557953e-16
5.576499999999998181e+03 -5.124554857727768450e-14 2.986251811203443627e-16 -3.897505258523118837e-14 1.871811197374422042e-16
5.626499999999998181e+03 -2.620972781274111771e-14 2.891170198540692093e-16 -2.812433061912480052e-14 1.816267262917479270e-16
5.676499999999998181e+03 -3.303678618826397279e-14 2.909543361298215601e-16 -1.745472213641153739e-14 1.827999434379161415e-16
5.726499999999998181e+03 4.173784586770373983e-15 2.979074827337535406e-16 6.319253199862594333e-15 1.876685316298558714e-16
5.776499999999998181e+03 3.854952976982881552e-14 2.940810639999835067e-16 2.973822902631863211e-14 1.855815119748837920e-16
5.826499999999998181e+03 -1.492851366383352184e-14 3.027224951392350945e-16 -7.380324199528669039e-15 1.910897477646054303e-16
5.876499999999998181e+03 -7.530625992164271241e-14 3.146320409677384921e-16 -6.214435414432328849e-14 1.990997906041159273e-16
5.926499999999998181e+03 3.225791420063588149e-14 3.205967858899352471e-16 2.356903203903408867e-14 2.034470069114676139e-16
5.976499999999998181e+03 -1.778867644803852309e-13 3.276389290448812163e-16 -1.407759085287011284e-13 2.075657065300900662e-16
6.026499999999998181e+03 -6.283376692725556946e-14 3.472025840771057889e-16 -4.998298031654923077e-14 2.207548083213631183e-16
6.076499999999999091e+03 1.293418220285328571e-15 3.718305942857192479e-16 4.669665356925145675e-15 2.366822949503095167e-16
