# ell cl_gy cl_yy
2.650000000000000000e+01 -1.197068969070334342e-10 4.952446626362739757e-14
7.650000000000000000e+01 4.729402109159355598e-12 1.689048479347211616e-16
1.265000000000000000e+02 2.392725370361967811e-12 5.183388411136802692e-16
1.765000000000000000e+02 2.939841768285637579e-12 3.192885593464042562e-16
2.265000000000000000e+02 1.790188933539872071e-12 2.540678267229951333e-16
2.765000000000000000e+02 1.537299181843094411e-12 2.153424547353339283e-16
3.265000000000000000e+02 1.311607877679207396e-12 1.891275297484654187e-16
3.764999999999999432e+02 8.787690443706640008e-13 1.773613915802673245e-16
4.264999999999999432e+02 8.666820318957994124e-13 1.754888542263879998e-16
4.764999999999999432e+02 7.009810306402219783e-13 1.696177406304065525e-16
5.265000000000000000e+02 6.560733814240007371e-13 1.644063027560230253e-16
5.765000000000000000e+02 6.570321931641557254e-13 1.640337097089125423e-16
6.265000000000000000e+02 4.918745132039453255e-13 1.549726700915723733e-16
6.765000000000001137e+02 4.932802822048134655e-13 1.513904553291690723e-16
7.265000000000001137e+02 4.489072969860244678e-13 1.483243013170816024e-16
7.765000000000001137e+02 3.661576206731687875e-13 1.496971060430488498e-16
8.265000000000000000e+02 3.594161773771237760e-13 1.509990671573305409e-16
8.765000000000000000e+02 2.986045631045369215e-13 1.437108469060258920e-16
9.265000000000000000e+02 2.461190900129133528e-13 1.318545940266073208e-16
9.765000000000000000e+02 2.293724668713331033e-13 1.169339071083612723e-16
1.026500000000000000e+03 2.239290321017526147e-13 1.083814129336344386e-16
1.076500000000000000e+03 2.666722294199343736e-13 1.089299796059420679e-16
1.126500000000000000e+03 1.874745446120477148e-13 1.087665285544237670e-16
1.176500000000000227e+03 1.871501556641058411e-13 1.000983535232143376e-16
1.226500000000000227e+03 1.485154085743083096e-13 8.914185472565435842e-17
1.276500000000000455e+03 1.624423639096823088e-13 7.709612926070302046e-17
1.326500000000000227e+03 1.051175117702853745e-13 7.026048731845129764e-17
1.376500000000000227e+03 1.349565707043095177e-13 7.243370513933503400e-17
1.426500000000000227e+03 1.119641039233298415e-13 7.084654752151766069e-17
1.476500000000000227e+03 1.099172294647638399e-13 6.330258976648553904e-17
1.526500000000000000e+03 8.760582556709327859e-14 5.215332597322934658e-17
1.576500000000000000e+03 8.053601538477918238e-14 4.183422742328949855e-17
1.626500000000000227e+03 5.885367096156230266e-14 3.582695114018096164e-17
1.676500000000000227e+03 6.804508967742178634e-14 3.337909545400336922e-17
1.726500000000000227e+03 8.089560844724645395e-14 3.218889535314379081e-17
1.776500000000000227e+03 6.003396595285128874e-14 2.957609777055222095e-17
1.826500000000000227e+03 6.941327771227538659e-14 2.570896006979360151e-17
1.876500000000000000e+03 6.433850343013432713e-14 2.175562137043997121e-17
1.926500000000000000e+03 6.635762829523100940e-14 1.924725555415225066e-17
1.976500000000000000e+03 5.866209551524714543e-14 1.818003911641657774e-17
2.026500000000000000e+03 4.224285398708286551e-14 1.714453446469311507e-17
2.076500000000000000e+03 4.387449788693481122e-14 1.625161553193114657e-17
2.126500000000000000e+03 3.168999068306556112e-14 1.445625653803962119e-17
2.176500000000000000e+03 2.631215677031599102e-14 1.259758386357713912e-17
2.226500000000000000e+03 3.214888370394867443e-14 1.133105685132902040e-17
2.276500000000000000e+03 2.746947647190795778e-14 1.042926975788173519e-17
2.326500000000000000e+03 3.371905989830979541e-14 1.018421008048901873e-17
2.376500000000000000e+03 3.463515913531999303e-14 9.833119378071802859e-18
2.426500000000000000e+03 2.320679413510575806e-14 9.223669467726624873e-18
2.476500000000000000e+03 2.183364236832622875e-14 8.834352065108380680e-18
2.526500000000000455e+03 1.759949364766566600e-14 8.413829781516091307e-18
2.576500000000000909e+03 1.843052791476115551e-14 8.213216433870644638e-18
2.626500000000000455e+03 2.063741831850232735e-14 8.287938958795158561e-18
2.676500000000000909e+03 2.604065487148514025e-14 8.076404491815857524e-18
2.726500000000001364e+03 1.809902782190569997e-14 8.064281960962061619e-18
2.776500000000001819e+03 1.295514232052369606e-14 7.945111764189813724e-18
2.826500000000001819e+03 1.098933918914636706e-14 7.884066784684030725e-18
2.876500000000001819e+03 5.282013710450553309e-15 7.858726509088053366e-18
2.926500000000001819e+03 9.852367484025874374e-15 7.898468858341274876e-18
2.976500000000001364e+03 1.266660313804879101e-14 7.886977594429620048e-18
3.026500000000001364e+03 8.509345415984313965e-15 7.865699895376044845e-18
3.076500000000001364e+03 6.610854793896167104e-15 8.025098746026591585e-18
3.126500000000000909e+03 4.862796393003640664e-15 8.000477546259288160e-18
3.176500000000000909e+03 4.189933829540411143e-15 8.213300686089564849e-18
3.226500000000000455e+03 5.926641573371079650e-15 8.307382303477374564e-18
3.276500000000000455e+03 7.493498581716311501e-15 8.306029700966157246e-18
3.326500000000000000e+03 5.742954046003214952e-15 8.429421885868928545e-18
3.376500000000000000e+03 -9.239218885524298733e-16 8.613595328465952521e-18
3.426500000000000000e+03 6.071352670524522147e-15 8.582117974041245813e-18
3.476500000000000000e+03 7.328916280179566691e-15 8.837848821535408882e-18
3.526500000000000000e+03 3.315512385143971527e-15 8.771202833440319908e-18
3.576500000000000000e+03 2.658456089685620515e-15 9.008438521113601203e-18
3.626500000000000000e+03 4.145941898390790934e-15 9.118216119401066436e-18
3.676500000000000000e+03 2.134523201561334939e-16 9.359732007325458803e-18
3.726500000000000000e+03 2.129723510136430321e-15 9.525503147783725146e-18
3.776500000000000000e+03 7.565798140112818484e-15 9.783771912823240291e-18
3.826500000000000000e+03 -2.080489411600384323e-15 9.992770036026128631e-18
3.876500000000000000e+03 -2.263247601879590563e-16 1.036840370498132471e-17
3.926500000000000000e+03 9.336926398258052240e-16 1.065898078110925194e-17
3.976500000000000000e+03 -8.600119682596212105e-15 1.101311511974272288e-17
4.026500000000000000e+03 -4.169949579751091431e-15 1.135601767776829681e-17
4.076500000000000000e+03 -3.364499129737416507e-15 1.181402384902170431e-17
4.126500000000000000e+03 -7.560173919169198540e-15 1.269536896707049062e-17
4.176500000000000000e+03 -5.785490393048311570e-15 1.389429605670537156e-17
4.226500000000000000e+03 8.993246628853907342e-17 1.576186844064494382e-17
4.276500000000000000e+03 -3.975155424024449369e-15 1.875330043479900139e-17
